~게 되다 [ge doeda] (End up doing) |  | TOPIK I Level 2
~게 하다 [ge hada] (Make/let someone do) |  | TOPIK I Level 2
~고 싶다 [go sipda] (Want to do) |  | TOPIK I Level 2
~기 전에 [gi jeone] (Before doing) |  | TOPIK I Level 2
~기 때문에 [gi ttaemune] (Because of doing) |  | TOPIK I Level 2
~기로 하다 [giro hada] (Decide to do) |  | TOPIK I Level 2
~기 시작하다 [gi sijakhada] (Start to do) |  | TOPIK I Level 2
~기는 하다 [gineun hada] (Do something as a habit) |  | TOPIK I Level 2
~는 대로 [neun daero] (As it is) |  | TOPIK I Level 2
~는 바람에 [neun barame] (Because of) |  | TOPIK I Level 2
~는 데 [neun de] (But) |  | TOPIK I Level 2
~는지 모르다 [neunji moreuda] (Don't know if) |  | TOPIK I Level 2
~는지 알다 [neunji alda] (Know if) |  | TOPIK I Level 2
~마다 [mada] (Every) |  | TOPIK I Level 2
~부터 ~까지 [buteo ~ kkaji] (From ~ to ~) |  | TOPIK I Level 2
~아/어/여 보이다 [a/eo/yeo boida] (Seems, looks like) |  | TOPIK I Level 2
~아/어/여 주다 [a/eo/yeo juda] (Do for someone) |  | TOPIK I Level 2
~아/어/여야만 하다 [a/eo/yeoyaman hada] (Have to do) |  | TOPIK I Level 2
~아/어/여도 되다 [a/eo/yeodo doeda] (Is it okay to) |  | TOPIK I Level 2
~아/어/여서는 안 되다 [a/eo/yeoseoneun an doeda] (Must not) |  | TOPIK I Level 2
~아/어서 [a/eoseo] (Because, so) |  | TOPIK I Level 2
~았/었으면 좋겠다 [at/eosseumyeon joketda] (I wish/hope) |  | TOPIK I Level 2
~어/아야 하다 [eo/ayahada] (Have to, should) |  | TOPIK I Level 2
~어/아도 [eo/ado] (Even if) |  | TOPIK I Level 2
~어/아 버리다 [eo/a beorida] (Regretfully, completely) |  | TOPIK I Level 2
~으면/면 [eumyeon/myeon] (If, when) |  | TOPIK I Level 2
~을/를 빼다 [eul/reul ppaeda] (Except for) |  | TOPIK I Level 2
~을/를 수 있다 [eul/reul su itda] (Can, possible) |  | TOPIK I Level 2
